排名,concept_name,concept_code,latest_price,pct_amount,pct_chg,total_mv,turn,up_count,down_count,leader_stock,leader_pct_chg,fetch_time
24,纳米银,BK0855,3517.7,80.71,2.35,114348712000,8.18,5,2,行云科技,7.4,2026-04-22 14:49:30
25,东方财富热股,BK1637,1499.09,34.12,2.33,9802565120000,7.26,65,35,金 螳 螂,10.02,2026-04-22 14:49:30
26,铜缆高速连接,BK1168,2829.38,63.59,2.3,1288464944000,4.25,32,6,蘅东光,13.2,2026-04-22 14:49:30
27,液冷概念,BK1138,2194.02,49.03,2.29,6131352576000,4.79,98,31,康盛股份,9.95,2026-04-22 14:49:30
28,MiniLED,BK0902,2604.0,57.63,2.26,1678731728000,3.54,48,18,三安光电,10.01,2026-04-22 14:49:30
30,空间计算,BK1143,1643.93,36.24,2.25,199573771000,3.65,15,9,宏景科技,17.73,2026-04-22 14:49:30
29,IPv6,BK0897,1496.45,32.93,2.25,646465296000,2.93,9,4,紫光股份,8.73,2026-04-22 14:49:30
31,MicroLED,BK0948,1466.57,31.99,2.23,813115024000,2.83,24,7,三安光电,10.01,2026-04-22 14:49:30
32,算力概念,BK1134,2137.34,45.4,2.17,11257329664000,3.51,142,44,安诺其,20.0,2026-04-22 14:49:30
33,复合集流体,BK1113,1798.51,38.04,2.16,473206704000,6.31,20,8,沃格光电,10.0,2026-04-22 14:49:30
34,华为欧拉,BK1013,1369.84,28.81,2.15,229649027000,4.97,14,1,软通动力,7.85,2026-04-22 14:49:30
35,星闪概念,BK1149,1473.57,30.61,2.12,592519088000,3.02,33,4,鸿泉技术,11.52,2026-04-22 14:49:30
37,PCB,BK0877,3657.16,75.1,2.1,4212000448000,4.68,110,25,天通股份,9.99,2026-04-22 14:49:30
36,华为昇腾,BK0995,1763.82,36.29,2.1,647467488000,3.89,39,6,深圳华强,10.01,2026-04-22 14:49:30
39,存储芯片,BK1137,2552.65,52.11,2.08,5477831424000,4.66,90,19,协创数据,20.0,2026-04-22 14:49:30
38,毫米波概念,BK1124,2552.11,51.96,2.08,1154254400000,5.73,35,12,武汉凡谷,10.02,2026-04-22 14:49:30
40,MLOps概念,BK1132,1197.63,24.25,2.07,154917624000,4.32,8,2,东方国信,7.86,2026-04-22 14:49:30
